episode,episode_reward,goal_reached,reason,max_steps
234,351.6794703980188,1,goal reached,50
235,349.82405669924754,1,goal reached,50
236,603.9988738139996,1,goal reached,39
237,345.70604031083724,1,goal reached,53
238,98.235250646135,1,goal reached,60
239,348.8582332820969,1,goal reached,50
240,363.05239376347834,1,goal reached,50
241,335.3991296780066,1,goal reached,53
242,348.93503528933866,1,goal reached,50
243,393.5360044829939,1,goal reached,49
244,351.6794703980188,1,goal reached,50
245,349.82405669924754,1,goal reached,50
246,603.9988738139996,1,goal reached,39
247,345.70604031083724,1,goal reached,53
248,98.235250646135,1,goal reached,60
249,348.8582332820969,1,goal reached,50
250,363.05239376347834,1,goal reached,50
251,335.3991296780066,1,goal reached,53
252,348.93503528933866,1,goal reached,50
253,393.5360044829939,1,goal reached,49
254,351.6794703980188,1,goal reached,50
255,349.82405669924754,1,goal reached,50
256,603.9988738139996,1,goal reached,39
257,345.70604031083724,1,goal reached,53
258,98.235250646135,1,goal reached,60
259,348.8582332820969,1,goal reached,50
260,363.05239376347834,1,goal reached,50
261,335.3991296780066,1,goal reached,53
262,348.93503528933866,1,goal reached,50
263,393.5360044829939,1,goal reached,49
264,351.6794703980188,1,goal reached,50
265,349.82405669924754,1,goal reached,50
266,603.9988738139996,1,goal reached,39
267,345.70604031083724,1,goal reached,53
268,98.235250646135,1,goal reached,60
269,348.8582332820969,1,goal reached,50
270,363.05239376347834,1,goal reached,50
271,335.3991296780066,1,goal reached,53
272,348.93503528933866,1,goal reached,50
273,393.5360044829939,1,goal reached,49
274,351.6794703980188,1,goal reached,50
275,349.82405669924754,1,goal reached,50
276,603.9988738139996,1,goal reached,39
277,345.70604031083724,1,goal reached,53
278,98.235250646135,1,goal reached,60
279,348.8582332820969,1,goal reached,50
280,363.05239376347834,1,goal reached,50
281,335.3991296780066,1,goal reached,53
282,348.93503528933866,1,goal reached,50
283,393.5360044829939,1,goal reached,49
284,351.6794703980188,1,goal reached,50
285,349.82405669924754,1,goal reached,50
286,603.9988738139996,1,goal reached,39
287,345.70604031083724,1,goal reached,53
288,98.235250646135,1,goal reached,60
